GCF_013421985.1.csv:4,NZ_PXGK01000012.1,druantia_type_III,WP_000383107.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,104602,110916,-,DEAD/DEAH box helicase [Escherichia coli],82,150,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.953, 0.957 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.953, 0.957 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
GCF_003629895.1.csv:4,NZ_RADZ01000205.1,druantia_type_III,WP_042929880.1,PDLC00037,DruE3_00003,DruE3,0,0,0.997,0.998,26252,32458,-,DEAD/DEAH box helicase [Pseudomonas],20,40,"PDLC00035,DruE3_00001, 1, 0, 0.693, 0.978 | PDLC00035,DruE3_00001, 2, 690, 0.039, 0.056 | PDLC00036,DruE3_00002, 1, 0, 0.962, 0.965 | PDLC00037,DruE3_00003, 1, 0, 0.997, 0.998","PDLC00035, DruE3_00001, 0, 0.693, 0.978 | PDLC00036, DruE3_00002, 0, 0.962, 0.965 | PDLC00037, DruE3_00003, 0, 0.997, 0.998"
GCF_003688015.1.csv:4,NZ_RDWX01000043.1,druantia_type_III,WP_121875045.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,19303,25629,-,DEAD/DEAH box helicase [Providencia stuartii],9,16,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.932, 0.937 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.932, 0.937 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
GCF_001753505.1.csv:8,NZ_CP017438.1,druantia_type_III,WP_000383108.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,4790427,4796741,-,DEAD/DEAH box helicase [Escherichia coli],4680,5234,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.953, 0.957 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.953, 0.957 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
GCF_019219905.1.csv:3,NZ_JAHUXV010000005.1,druantia_type_III,WP_004178408.1,PDLC00037,DruE3_00003,DruE3,0,0,0.998,0.999,315588,321908,-,DEAD/DEAH box helicase [Klebsiella],290,330,"PDLC00035,DruE3_00001, 1, 0, 0.702, 0.974 | PDLC00036,DruE3_00002, 1, 0, 0.954, 0.96 | PDLC00037,DruE3_00003, 1, 0, 0.998, 0.999","PDLC00035, DruE3_00001, 0, 0.702, 0.974 | PDLC00036, DruE3_00002, 0, 0.954, 0.96 | PDLC00037, DruE3_00003, 0, 0.998, 0.999"
GCF_910738255.1.csv:7,NZ_OU356913.1,druantia_type_III,WP_113850912.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,1647031,1653345,+,DEAD/DEAH box helicase [Escherichia coli],1582,4663,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.953, 0.957 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.953, 0.957 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
GCF_003411235.2.csv:5,NZ_QVDA02000045.1,druantia_type_III,WP_116844929.1,PDLC00037,DruE3_00003,DruE3,0,0,0.997,0.998,21862,28077,-,DEAD/DEAH box helicase [Pseudomonas aeruginosa],17,34,"PDLC00035,DruE3_00001, 1, 0, 0.693, 0.978 | PDLC00036,DruE3_00002, 1, 0, 0.962, 0.965 | PDLC00037,DruE3_00003, 1, 0, 0.997, 0.998","PDLC00035, DruE3_00001, 0, 0.693, 0.978 | PDLC00036, DruE3_00002, 0, 0.962, 0.965 | PDLC00037, DruE3_00003, 0, 0.997, 0.998"
GCF_002164525.1.csv:5,NZ_NFRL01000001.1,druantia_type_III,WP_000383108.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,351815,358129,-,DEAD/DEAH box helicase [Escherichia coli],307,382,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.953, 0.957 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.953, 0.957 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
GCF_019798005.1.csv:3,NZ_CP073783.1,druantia_type_III,WP_020723567.1,PDLC00037,DruE3_00003,DruE3,0,0,0.998,0.999,4584134,4590454,+,DEAD/DEAH box helicase [Klebsiella pneumoniae],4326,4883,"PDLC00035,DruE3_00001, 1, 0, 0.702, 0.974 | PDLC00036,DruE3_00002, 1, 0, 0.954, 0.96 | PDLC00037,DruE3_00003, 1, 0, 0.998, 0.999","PDLC00035, DruE3_00001, 0, 0.702, 0.974 | PDLC00036, DruE3_00002, 0, 0.954, 0.96 | PDLC00037, DruE3_00003, 0, 0.998, 0.999"
GCF_002473585.1.csv:5,NZ_NWNA01000001.1,druantia_type_III,WP_000383109.1,PDLC00037,DruE3_00003,DruE3,0,0,0.996,0.996,351928,358242,-,DEAD/DEAH box helicase [Escherichia coli],307,323,"PDLC00035,DruE3_00001, 1, 0, 0.697, 0.971 | PDLC00036,DruE3_00002, 1, 0, 0.953, 0.957 | PDLC00037,DruE3_00003, 1, 0, 0.996, 0.996","PDLC00035, DruE3_00001, 0, 0.697, 0.971 | PDLC00036, DruE3_00002, 0, 0.953, 0.957 | PDLC00037, DruE3_00003, 0, 0.996, 0.996"
