WP_014530256.1	GENOMAD.165552.VV	2.462E-23	51.000	0.915	0.758	0.510	95
WP_014530256.1	GENOMAD.226215.VP	1.769E-11	33.800	0.894	0.746	0.338	61
WP_014530256.1	GENOMAD.227020.VP	2.190E-09	46.100	0.660	0.428	0.461	55
WP_016919222.1	GENOMAD.090865.VV	4.395E-05	56.000	0.042	0.115	0.560	50
WP_081459357.1	GENOMAD.146102.PC	3.778E-05	47.700	0.098	0.368	0.477	49
WP_049854408.1	GENOMAD.170118.CP	5.673E-34	62.000	1.000	0.879	0.620	126
WP_049854408.1	GENOMAD.177532.CP	3.328E-08	35.500	0.824	0.661	0.355	52
WP_049854408.1	GENOMAD.190195.CP	1.817E-06	37.700	0.667	0.600	0.377	47
WP_049854408.1	GENOMAD.169501.CP	4.042E-06	36.400	0.696	0.592	0.364	46
WP_049854408.1	GENOMAD.154586.CP	4.438E-05	40.900	0.549	0.589	0.409	43
WP_123237182.1	GENOMAD.142784.CP	5.686E-28	39.600	0.957	0.970	0.396	112
WP_123237182.1	GENOMAD.158812.CP	1.016E-20	38.100	0.834	0.688	0.381	91
WP_123237182.1	GENOMAD.145459.CP	5.778E-18	32.900	0.896	0.884	0.329	83
WP_123237182.1	GENOMAD.140400.CP	3.892E-12	27.100	1.000	0.902	0.271	66
WP_123237182.1	GENOMAD.142334.CP	8.540E-12	27.900	0.902	0.895	0.279	65
WP_123237182.1	GENOMAD.195849.CP	1.873E-11	27.700	0.914	0.987	0.277	64
WP_123237182.1	GENOMAD.147091.CP	8.994E-11	26.800	0.969	0.974	0.268	62
WP_193726071.1	GENOMAD.145565.CP	8.838E-13	27.600	1.000	0.985	0.276	68
WP_122027378.1	GENOMAD.227329.VP	2.843E-04	29.900	0.764	0.824	0.299	41
WP_054989536.1	GENOMAD.207490.PC	5.279E-14	50.400	0.944	0.409	0.504	67
WP_054989536.1	GENOMAD.209892.PC	2.395E-07	38.400	0.958	0.833	0.384	48
WP_123237178.1	GENOMAD.132872.CP	8.058E-57	49.900	0.868	0.951	0.499	199
WP_123237178.1	GENOMAD.134224.CP	9.299E-20	28.200	0.859	0.861	0.282	91
WP_123237178.1	GENOMAD.133353.CP	4.740E-13	27.300	0.748	0.537	0.273	71
WP_123237178.1	GENOMAD.142134.CP	2.095E-10	26.400	0.688	0.624	0.264	63
WP_123237178.1	GENOMAD.151286.CP	1.440E-04	28.800	0.406	0.412	0.288	45
WP_123237178.1	GENOMAD.142587.CP	1.440E-04	21.300	0.701	0.654	0.213	45
WP_123237178.1	GENOMAD.006022.CC	6.252E-04	22.400	0.632	0.670	0.224	43
WP_221106665.1	GENOMAD.180287.VP	8.055E-129	38.500	0.962	0.838	0.385	429
WP_221106665.1	GENOMAD.146632.VP	6.924E-57	28.100	0.735	0.668	0.281	215
WP_221106665.1	GENOMAD.221803.VP	4.197E-49	26.100	0.766	0.729	0.261	191
WP_221106665.1	GENOMAD.152051.VP	4.091E-41	22.200	0.834	0.753	0.222	166
WP_221106665.1	GENOMAD.102294.VV	9.398E-19	31.600	0.277	0.836	0.316	94
WP_221106665.1	GENOMAD.225887.VP	1.256E-05	44.800	0.084	0.513	0.448	51
WP_222396759.1	GENOMAD.218315.CP	7.179E-08	36.700	0.230	0.240	0.367	57
WP_222324683.1	GENOMAD.034447.CC	1.347E-05	46.300	0.182	0.064	0.463	49
WP_222187799.1	GENOMAD.210063.PC	2.840E-161	37.300	0.991	0.994	0.373	532
WP_222187799.1	GENOMAD.212721.PC	3.180E-08	27.700	0.165	0.161	0.277	60
WP_222187799.1	GENOMAD.158986.CP	1.398E-04	24.300	0.162	0.127	0.243	48
WP_222552091.1	GENOMAD.217970.CP	5.621E-04	23.500	0.267	0.324	0.235	45
WP_212497126.1	GENOMAD.211774.PC	2.369E-104	24.500	0.987	0.948	0.245	371
WP_211672224.1	GENOMAD.192618.CP	3.028E-23	23.600	0.613	0.887	0.236	108
WP_211672224.1	GENOMAD.205731.PC	1.288E-10	19.600	0.528	0.796	0.196	67
WP_213351617.1	GENOMAD.160485.CP	1.896E-16	42.400	0.898	0.922	0.424	76
WP_213351617.1	GENOMAD.166548.CP	9.253E-08	30.000	0.981	0.961	0.300	51
WP_213351617.1	GENOMAD.159616.CP	9.253E-08	31.500	0.898	0.845	0.315	51
WP_213351617.1	GENOMAD.169783.CP	2.456E-05	32.800	0.731	0.667	0.328	44
WP_213351617.1	GENOMAD.168742.CP	5.442E-05	28.300	0.898	0.892	0.283	43
WP_213351617.1	GENOMAD.171438.CP	5.902E-04	31.000	0.713	0.636	0.310	40
WP_053318997.1	GENOMAD.179832.CP	1.490E-110	26.400	0.969	0.862	0.264	389
WP_070240710.1	GENOMAD.130099.PC	8.065E-07	41.800	0.496	0.560	0.418	49
WP_070240710.1	GENOMAD.104613.PC	2.016E-04	53.400	0.304	0.633	0.534	42
WP_003085808.1	GENOMAD.106498.VV	5.033E-16	42.200	0.439	0.169	0.422	80
WP_003085808.1	GENOMAD.152082.CP	4.966E-12	38.300	0.388	0.089	0.383	68
WP_003085808.1	GENOMAD.141807.CP	7.128E-05	28.100	0.426	0.156	0.281	46
WP_070813824.1	GENOMAD.111079.CP	1.698E-36	33.200	0.863	0.853	0.332	143
WP_070813824.1	GENOMAD.110118.CP	3.709E-14	23.800	0.781	0.789	0.238	76
WP_071235435.1	GENOMAD.034447.CC	1.347E-05	46.300	0.182	0.064	0.463	49
WP_240520023.1	GENOMAD.147643.PC	4.124E-21	57.600	0.568	0.661	0.576	91
WP_240520023.1	GENOMAD.137354.PC	1.301E-16	47.400	0.619	0.675	0.474	78
WP_240520023.1	GENOMAD.151194.PC	5.575E-07	33.200	0.590	0.746	0.332	50
WP_240520023.1	GENOMAD.142672.PC	1.223E-06	35.900	0.561	0.682	0.359	49
WP_094196758.1	GENOMAD.123925.PP	2.740E-26	33.000	0.985	0.887	0.330	109
WP_095702007.1	GENOMAD.211774.PC	1.834E-192	33.700	1.000	0.956	0.337	634
WP_100241032.1	GENOMAD.190225.CP	2.426E-175	73.200	1.000	0.920	0.732	548
WP_100241032.1	GENOMAD.169656.CP	6.077E-23	29.500	0.652	0.670	0.295	104
WP_100241032.1	GENOMAD.145782.PP	2.618E-21	27.600	0.674	0.521	0.276	99
WP_100241032.1	GENOMAD.167222.CP	2.884E-13	23.500	0.671	0.687	0.235	74
WP_101157022.1	GENOMAD.211774.PC	2.788E-212	37.100	0.986	0.908	0.371	692
WP_102155049.1	GENOMAD.228061.PC	9.079E-14	50.300	0.104	0.851	0.503	78
WP_063990428.1	GENOMAD.123057.PC	2.240E-30	41.500	0.976	0.947	0.415	119
WP_063990428.1	GENOMAD.132966.PC	2.025E-10	27.900	0.756	0.847	0.279	61
WP_063990428.1	GENOMAD.189397.PC	4.906E-07	25.600	0.750	0.396	0.256	51
WP_003302071.1	GENOMAD.169351.CP	1.627E-29	52.600	0.661	1.000	0.526	117
WP_003302071.1	GENOMAD.171212.CP	2.854E-05	26.900	0.649	0.434	0.269	46
WP_108511935.1	GENOMAD.171925.VC	7.103E-12	26.500	0.446	0.421	0.265	70
WP_045531636.1	GENOMAD.207715.PC	2.586E-09	51.200	0.671	0.697	0.512	54
WP_002058523.1	GENOMAD.170513.PC	1.932E-15	40.100	0.817	0.896	0.401	74
WP_002058523.1	GENOMAD.136556.PC	1.242E-11	36.800	0.778	0.744	0.368	63
WP_002058523.1	GENOMAD.145752.PC	1.242E-11	31.100	0.976	0.933	0.311	63
WP_002058523.1	GENOMAD.136897.PC	2.992E-10	34.400	0.778	0.177	0.344	59
WP_002058523.1	GENOMAD.145807.PC	6.624E-10	31.600	0.889	0.896	0.316	58
WP_002058523.1	GENOMAD.125851.PC	1.466E-09	32.200	0.770	0.835	0.322	57
WP_002058523.1	GENOMAD.145571.PC	7.174E-09	29.500	0.913	0.860	0.295	55
WP_002058523.1	GENOMAD.143004.PC	7.743E-08	30.800	0.817	0.872	0.308	52
WP_002058523.1	GENOMAD.136110.PC	4.040E-06	26.400	0.786	0.856	0.264	47
